freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.183e+01,8.593e+00,4.815e+02,5.019e+02
1.5,3.419e+01,2.242e+01,2.897e+02,3.463e+02
3.0,3.527e+01,2.127e+01,2.939e+01,8.593e+01
4.5,3.622e+01,1.932e+01,2.794e+02,3.350e+02
6.0,3.681e+01,1.828e+01,1.110e+03,1.165e+03
7.5,3.509e+01,1.949e+01,1.872e+03,1.926e+03
9.0,3.678e+01,1.880e+01,2.707e+03,2.763e+03
10.6,3.586e+01,1.959e+01,3.753e+03,3.808e+03
12.1,3.632e+01,1.998e+01,5.008e+03,5.065e+03
13.6,3.835e+01,1.886e+01,6.613e+03,6.670e+03
15.1,4.068e+01,1.842e+01,8.380e+03,8.439e+03
16.6,4.054e+01,1.930e+01,9.310e+03,9.370e+03
18.1,3.959e+01,2.134e+01,1.131e+04,1.137e+04
19.6,4.301e+01,2.481e+01,1.381e+04,1.388e+04
21.1,7.047e+01,2.790e+01,1.432e+04,1.441e+04
22.6,8.092e+01,2.616e+01,1.588e+04,1.599e+04
24.1,4.988e+01,2.416e+01,1.878e+04,1.885e+04
25.6,4.174e+01,3.631e+01,2.228e+04,2.236e+04
27.1,4.363e+01,4.907e+01,2.624e+04,2.633e+04
28.7,7.924e+01,3.905e+01,3.047e+04,3.059e+04
30.2,8.803e+01,3.194e+01,3.484e+04,3.496e+04
31.7,4.199e+01,2.348e+01,3.974e+04,3.981e+04
33.2,4.769e+01,2.912e+01,4.575e+04,4.582e+04
34.7,5.760e+01,3.114e+01,5.123e+04,5.132e+04
36.2,5.164e+01,2.763e+01,5.715e+04,5.723e+04
37.7,4.421e+01,2.776e+01,6.520e+04,6.527e+04
39.2,3.923e+01,3.336e+01,7.543e+04,7.550e+04
40.7,4.161e+01,4.042e+01,8.832e+04,8.841e+04
42.2,4.632e+01,5.947e+01,1.036e+05,1.037e+05
43.7,6.558e+01,8.819e+01,1.208e+05,1.209e+05
45.2,7.497e+01,1.145e+02,1.406e+05,1.408e+05
46.8,9.346e+01,1.613e+02,1.639e+05,1.641e+05
48.3,1.670e+02,1.655e+02,1.923e+05,1.927e+05
49.8,2.849e+02,1.607e+02,2.313e+05,2.318e+05
51.3,4.921e+02,1.516e+02,2.880e+05,2.887e+05
52.8,8.601e+02,1.432e+02,3.774e+05,3.784e+05
54.3,1.865e+03,1.483e+02,5.203e+05,5.223e+05
55.8,2.375e+03,1.947e+02,7.536e+05,7.562e+05
57.3,1.836e+03,3.954e+02,1.088e+06,1.090e+06
58.8,1.931e+03,8.136e+02,1.342e+06,1.345e+06
60.3,1.947e+03,1.384e+03,1.497e+06,1.501e+06
61.8,2.735e+03,1.556e+03,1.600e+06,1.604e+06
63.3,3.629e+03,1.669e+03,1.409e+06,1.414e+06
64.9,3.941e+03,1.794e+03,1.074e+06,1.079e+06
66.4,4.474e+03,1.917e+03,8.227e+05,8.291e+05
67.9,5.401e+03,1.888e+03,6.259e+05,6.332e+05
69.4,5.407e+03,1.431e+03,4.564e+05,4.633e+05
70.9,4.932e+03,1.154e+03,2.907e+05,2.968e+05
72.4,4.417e+03,7.508e+02,1.786e+05,1.838e+05
73.9,4.195e+03,3.338e+02,1.463e+05,1.508e+05
75.4,4.274e+03,1.237e+02,1.417e+05,1.461e+05
76.9,4.087e+03,1.676e+02,1.442e+05,1.484e+05
78.4,3.580e+03,5.494e+02,2.183e+05,2.224e+05
79.9,3.829e+03,2.536e+03,4.511e+05,4.574e+05
81.4,4.377e+03,5.485e+03,6.893e+05,6.991e+05
83.0,4.368e+03,5.256e+03,6.171e+05,6.268e+05
84.5,4.239e+03,5.564e+03,6.224e+05,6.322e+05
86.0,4.510e+03,7.252e+03,6.550e+05,6.667e+05
87.5,7.508e+03,9.881e+03,6.879e+05,7.053e+05
89.0,1.553e+04,1.445e+04,7.073e+05,7.373e+05
90.5,2.633e+04,2.139e+04,7.241e+05,7.718e+05
92.0,4.163e+04,3.190e+04,7.076e+05,7.811e+05
93.5,4.900e+04,3.777e+04,6.671e+05,7.539e+05
95.0,4.538e+04,3.728e+04,6.217e+05,7.043e+05
96.5,4.211e+04,3.205e+04,6.064e+05,6.806e+05
98.0,2.881e+04,2.138e+04,5.454e+05,5.956e+05
99.5,1.884e+04,1.423e+04,5.078e+05,5.409e+05
101.1,1.441e+04,1.038e+04,5.099e+05,5.347e+05
102.6,1.140e+04,7.902e+03,4.762e+05,4.955e+05
104.1,8.347e+03,5.989e+03,4.422e+05,4.565e+05
105.6,6.185e+03,4.548e+03,4.119e+05,4.226e+05
107.1,4.508e+03,3.369e+03,3.805e+05,3.884e+05
108.6,3.196e+03,2.485e+03,3.518e+05,3.574e+05
110.1,2.461e+03,1.721e+03,3.280e+05,3.322e+05
111.6,1.807e+03,1.019e+03,3.029e+05,3.057e+05
113.1,1.012e+03,6.820e+02,2.823e+05,2.840e+05
114.6,8.396e+02,7.320e+02,2.800e+05,2.816e+05
116.1,1.178e+03,9.451e+02,2.793e+05,2.814e+05
117.6,1.709e+03,1.163e+03,2.768e+05,2.797e+05
119.1,2.861e+03,2.069e+03,2.702e+05,2.752e+05
120.7,4.501e+03,3.412e+03,2.624e+05,2.703e+05
122.2,5.953e+03,5.090e+03,2.529e+05,2.639e+05
123.7,7.978e+03,8.181e+03,2.426e+05,2.588e+05
125.2,9.752e+03,1.157e+04,2.325e+05,2.538e+05
126.7,1.048e+04,1.398e+04,2.225e+05,2.469e+05
128.2,1.069e+04,1.553e+04,2.125e+05,2.387e+05
129.7,1.001e+04,1.523e+04,2.027e+05,2.279e+05
131.2,7.146e+03,1.100e+04,1.783e+05,1.965e+05
132.7,3.183e+03,5.090e+03,1.112e+05,1.195e+05
134.2,8.167e+02,1.384e+03,1.771e+04,1.991e+04
135.7,4.674e+02,7.928e+02,1.689e+03,2.949e+03
137.2,5.214e+02,9.523e+02,1.764e+03,3.238e+03
138.8,4.852e+02,1.008e+03,1.607e+03,3.100e+03
140.3,4.872e+02,1.021e+03,1.509e+03,3.017e+03
141.8,3.925e+02,7.322e+02,1.287e+03,2.412e+03
143.3,3.956e+02,5.545e+02,1.531e+03,2.481e+03
144.8,5.325e+02,6.036e+02,2.340e+03,3.476e+03
146.3,6.484e+02,5.916e+02,2.519e+03,3.759e+03
147.8,6.238e+02,5.197e+02,2.326e+03,3.470e+03
149.3,4.850e+02,7.358e+02,2.436e+03,3.657e+03
150.8,6.500e+02,1.025e+03,2.896e+03,4.571e+03
152.3,8.895e+02,8.521e+02,3.386e+03,5.127e+03
153.8,8.299e+02,9.914e+02,3.630e+03,5.452e+03
155.3,8.817e+02,1.534e+03,5.774e+03,8.190e+03
156.9,1.121e+03,2.673e+03,8.157e+03,1.195e+04
158.4,1.772e+03,3.960e+03,7.289e+03,1.302e+04
159.9,2.569e+03,5.423e+03,7.007e+03,1.500e+04
161.4,2.761e+03,6.160e+03,1.074e+04,1.966e+04
162.9,1.692e+03,4.132e+03,1.459e+04,2.042e+04
