freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.865e+02,7.479e+00,7.309e+00,5.013e+02
1.5,2.949e+02,1.771e+01,1.736e+01,3.299e+02
3.0,3.803e+01,1.733e+01,1.890e+01,7.426e+01
4.5,3.657e+02,1.787e+01,1.761e+01,4.012e+02
6.1,1.299e+03,1.805e+01,1.522e+01,1.333e+03
7.6,2.060e+03,1.755e+01,1.657e+01,2.094e+03
9.1,2.720e+03,1.710e+01,1.892e+01,2.756e+03
10.6,3.794e+03,1.719e+01,1.812e+01,3.829e+03
12.1,5.390e+03,1.823e+01,1.868e+01,5.427e+03
13.6,7.723e+03,1.818e+01,1.649e+01,7.757e+03
15.2,1.052e+04,1.919e+01,1.706e+01,1.056e+04
16.7,1.362e+04,2.048e+01,2.104e+01,1.366e+04
18.2,1.771e+04,2.365e+01,2.286e+01,1.775e+04
19.7,2.352e+04,3.290e+01,4.147e+01,2.360e+04
21.2,3.247e+04,4.558e+01,1.660e+02,3.268e+04
22.7,4.406e+04,9.585e+01,3.287e+02,4.449e+04
24.2,3.605e+04,1.315e+02,2.761e+02,3.646e+04
25.8,2.690e+04,7.841e+01,1.162e+02,2.710e+04
27.3,3.692e+04,8.446e+01,5.940e+01,3.706e+04
28.8,5.239e+04,1.650e+02,3.462e+01,5.259e+04
30.3,7.226e+04,1.199e+02,1.924e+01,7.240e+04
31.8,1.021e+05,9.507e+01,2.163e+01,1.022e+05
33.3,1.272e+05,1.052e+02,2.859e+01,1.273e+05
34.9,1.576e+05,1.177e+02,4.973e+01,1.578e+05
36.4,2.409e+05,1.454e+02,1.206e+02,2.411e+05
37.9,4.217e+05,1.443e+02,2.169e+02,4.221e+05
39.4,8.238e+05,1.756e+02,2.724e+02,8.243e+05
40.9,1.436e+06,5.960e+02,5.709e+02,1.437e+06
42.4,1.506e+06,9.628e+02,9.585e+02,1.507e+06
43.9,1.148e+06,8.212e+02,1.183e+03,1.150e+06
45.5,8.114e+05,5.762e+02,1.325e+03,8.133e+05
